lead_id,created_at,brand,utm_source,utm_medium,utm_campaign,lead_status,deal_amount_usd
L-77204,2026-06-12 11:59:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-71306,2026-05-30 09:04:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-73775,2026-07-22 17:00:00,PKF,,,,MQL,
L-80396,2026-05-10 19:30:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-70900,2026-07-27 20:20:00,AUR,,,,Lead,
L-77813,2026-05-29 22:53:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-80823,2026-07-15 18:41:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-70640,2026-07-05 19:18:00,AUR,,,,MQL,
L-78461,2026-07-19 20:59:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-79727,2026-05-27 10:14:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,SQL,
L-80675,2026-06-26 13:56:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-70937,2026-07-30 21:47:00,AUR,Facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-73455,2026-06-28 16:31:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,MQL,
L-78524,2026-07-23 11:56:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-74115,2026-06-08 20:50:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-76776,2026-07-07 12:48:00,AUR,,,,SQL,
L-75153,2026-07-07 20:41:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-78839,2026-07-08 11:12:00,PKF,google,cpc,pkf|nonbrand|search|may26,SQL,
L-75344,2026-07-23 08:42:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-76593,2026-06-12 20:59:00,AUR,Google Ads,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-82196,2026-07-25 15:39:00,PKF,,,,MQL,
L-81058,2026-06-08 16:44:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-74933,2026-06-18 13:31:00,NMB,,,,MQL,
L-74234,2026-06-26 21:51:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-81662,2026-06-10 09:25:00,NMB,google,paid_social,(not set),Lead,
L-78227,2026-07-01 18:59:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-81924,2026-07-03 14:11:00,AUR,,,,Lead,
L-74520,2026-05-07 14:08:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-70071,2026-05-08 15:58:00,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-73112,2026-06-05 19:50:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Lead,
L-70322,2026-06-02 22:57:00,AUR,,,,MQL,
L-73351,2026-06-19 12:23:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Lead,
L-81068,2026-06-13 21:24:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-76803,2026-07-10 15:48:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-79020,2026-05-12 21:48:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-76722,2026-07-02 17:43:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-79854,2026-05-17 16:34:00,NMB,adwords,cpc,NMB_US_Video_Test_A,SQL,
L-75345,2026-07-25 11:44:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76214,2026-07-23 10:18:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-73856,2026-07-28 08:23:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-76984,2026-07-30 11:06:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-79334,2026-06-21 10:46:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-71994,2026-07-21 20:06:00,AUR,,,,MQL,
L-73458,2026-06-29 17:30:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,SQL,
L-72555,2026-07-27 08:10:00,AUR,,,,Lead,
L-70652,2026-07-07 08:56:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-75916,2026-06-22 11:55:00,NMB,,,,MQL,
L-77196,2026-06-12 19:41:00,AUR,,,,Lead,
L-80908,2026-07-25 09:49:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-76683,2026-06-24 19:08:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-79623,2026-07-25 12:57:00,NMB,,,,Lead,
L-71275,2026-05-28 20:44:00,AUR,,,,Lead,
L-79883,2026-05-30 09:44:00,AUR,google,cpc,AUR_US_Video_Test_B,SQL,
L-75984,2026-06-30 20:21:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-75047,2026-06-26 22:32:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-71594,2026-06-20 17:09:00,AUR,,,,Lead,
L-82178,2026-07-23 12:30:00,NMB,google,paid_social,(not set),MQL,
L-80944,2026-07-30 17:24:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-71848,2026-07-09 12:27:00,AUR,,,,Lead,
L-75798,2026-06-09 12:11:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,SQL,
L-81557,2026-06-02 08:07:00,PKF,google,paid_social,(not set),MQL,
L-79315,2026-06-17 11:13:00,NMB,,,,Lead,
L-79502,2026-07-11 11:53:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-74099,2026-06-03 21:13:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-82134,2026-07-20 17:07:00,NMB,google,paid_social,(not set),Lead,
L-80351,2026-05-02 22:19:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-73766,2026-07-23 15:15:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Lead,
L-77256,2026-06-22 19:12:00,AUR,,,,Lead,
L-80690,2026-06-26 20:16:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,SQL,
L-74403,2026-07-20 14:41:00,PKF,,,,Lead,
L-75642,2026-05-23 22:27:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-70725,2026-07-12 11:39:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-70490,2026-06-22 20:26:00,AUR,,,,Lead,
L-76532,2026-06-02 13:41:00,AUR,,,,SQL,
L-79413,2026-06-29 17:44:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-71968,2026-07-19 13:18:00,AUR,,,,Lead,
L-77392,2026-07-19 17:43:00,AUR,,,,SQL,
L-76144,2026-07-16 11:25:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-70082,2026-05-10 12:37:00,AUR,,,,Lead,
L-77111,2026-05-22 08:52:00,AUR,,,,SQL,
L-81441,2026-05-22 08:16:00,NMB,,,,Lead,
L-78256,2026-07-04 12:11:00,PKF,,,,MQL,
L-77125,2026-05-26 19:34:00,AUR,,,,Lead,
L-73921,2026-05-07 18:43:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-73294,2026-06-16 20:30:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-74665,2026-05-22 14:24:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-78708,2026-05-30 20:58:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,Lead,
L-70093,2026-05-11 18:35:00,AUR,,,,Lead,
L-79185,2026-05-31 20:11:00,NMB,,,,MQL,
L-77359,2026-07-14 16:47:00,AUR,adwords,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-80338,2026-07-31 21:57:00,AUR,,,,Lead,
L-70945,2026-07-31 09:43:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-71113,2026-05-12 11:49:00,AUR,,,,MQL,
L-80081,2026-06-06 17:52:00,AUR,,,,Lead,
L-80900,2026-07-23 11:44:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-74506,2026-05-07 15:44:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-74878,2026-06-13 15:57:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,SQL,
L-80646,2026-06-20 13:28:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-78338,2026-07-09 13:23:00,PKF,,,,Lead,
L-78735,2026-06-03 18:47:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Lead,
L-74337,2026-07-12 14:52:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Closed Won,2400
L-76975,2026-07-28 12:08:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-77469,2026-05-01 16:19:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-75352,2026-07-26 10:05:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75488,2026-05-09 15:24:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-77344,2026-07-12 08:17:00,AUR,,,,Closed Won,1900
L-74089,2026-06-02 08:00:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-80784,2026-07-10 14:19:00,PKF,,,,Lead,
L-78363,2026-07-10 17:05:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-73078,2026-06-01 21:12:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-71670,2026-06-28 20:28:00,AUR,,,,MQL,
L-76529,2026-06-02 08:08:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-76757,2026-07-05 19:54:00,AUR,,,,Lead,
L-72093,2026-07-27 22:55:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-72046,2026-07-24 08:38:00,AUR,,,,MQL,
L-76969,2026-07-30 14:51:00,AUR,Google Ads,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-79546,2026-07-17 11:55:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-75636,2026-05-20 13:21:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Closed Won,5200
L-82138,2026-07-21 22:10:00,AUR,google,paid_social,(not set),MQL,
L-73514,2026-07-02 14:32:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-73973,2026-05-14 14:09:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-71974,2026-07-20 22:44:00,AUR,,,,Lead,
L-77232,2026-06-17 14:53:00,AUR,,,,MQL,
L-75412,2026-07-31 10:41:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75973,2026-06-26 13:33:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-74023,2026-05-21 22:00:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-71197,2026-05-22 17:01:00,AUR,,,,Lead,
L-76332,2026-05-08 15:07:00,AUR,,,,SQL,
L-77560,2026-05-11 14:52:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-81980,2026-07-08 08:06:00,AUR,google,paid_social,(not set),Lead,
L-80470,2026-05-22 22:59:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-74289,2026-07-05 21:41:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Closed Won,1900
L-76840,2026-07-14 10:38:00,AUR,,,,SQL,
L-74856,2026-06-10 09:53:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81948,2026-07-06 17:41:00,AUR,,,,Lead,
L-77763,2026-05-25 09:09:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-77012,2026-05-05 20:06:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,Closed Won,1900
L-78731,2026-06-04 09:35:00,PKF,,,,MQL,
L-80238,2026-07-11 15:00:00,AUR,,,,SQL,
L-72611,2026-05-04 16:38:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-73269,2026-06-15 15:08:00,PKF,,,,Lead,
L-80613,2026-06-15 14:48:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78865,2026-07-15 17:08:00,PKF,google,cpc,pkf|nonbrand|search|may26,SQL,
L-78370,2026-07-11 12:00:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-76648,2026-06-21 08:16:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-76325,2026-05-06 11:14:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-79707,2026-05-23 13:24:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,SQL,
L-81692,2026-06-13 15:20:00,AUR,,,,Lead,
L-73992,2026-05-15 15:11:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-81473,2026-05-26 13:14:00,PKF,google,paid_social,(not set),Lead,
L-77481,2026-05-03 11:40:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-73086,2026-06-02 21:11:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,MQL,
L-71263,2026-05-25 13:56:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,SQL,
L-81783,2026-06-21 13:38:00,PKF,google,paid_social,(not set),Lead,
L-79650,2026-07-29 08:28:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-73970,2026-05-12 15:32:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,SQL,
L-70349,2026-06-07 20:05:00,AUR,,,,MQL,
L-71617,2026-06-23 19:06:00,AUR,,,,Lead,
L-77052,2026-05-13 16:18:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-75818,2026-06-12 19:05:00,NMB,,,,Lead,
L-77911,2026-06-07 21:16:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-71460,2026-06-12 17:46:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-70230,2026-05-23 17:56:00,AUR,,,,MQL,
L-80108,2026-06-13 19:41:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-81327,2026-05-12 21:55:00,PKF,google,paid_social,(not set),SQL,
L-82170,2026-07-23 12:37:00,PKF,google,paid_social,(not set),Lead,
L-81332,2026-05-13 15:15:00,AUR,google,paid_social,(not set),MQL,
L-77144,2026-05-30 17:00:00,AUR,,,,MQL,
L-75573,2026-05-14 22:23:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-80190,2026-06-29 09:54:00,AUR,,,,MQL,
L-77765,2026-05-26 19:36:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-73492,2026-06-29 18:49:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-80261,2026-07-15 10:45:00,AUR,,,,Lead,
L-79589,2026-07-21 20:14:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-78308,2026-07-07 11:45:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-81548,2026-06-01 09:30:00,NMB,google,paid_social,(not set),MQL,
L-80407,2026-05-12 12:51:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-79085,2026-05-20 16:37:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-77456,2026-05-02 08:17:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-73706,2026-07-16 12:45:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Lead,
L-78504,2026-07-23 21:49:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Closed Won,3600
L-76613,2026-06-15 21:15:00,AUR,,,,SQL,
L-75422,2026-05-01 09:02:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-79814,2026-07-16 10:27:00,NMB,,,,MQL,
L-74260,2026-07-01 16:46:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-75419,2026-05-01 17:24:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-81646,2026-06-09 16:24:00,NMB,google,paid_social,(not set),Lead,
L-73423,2026-06-24 21:43:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-81534,2026-05-31 09:29:00,NMB,google,paid_social,(not set),Lead,
L-79584,2026-07-21 11:40:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-76377,2026-05-15 08:33:00,AUR,Google Ads,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-82102,2026-07-17 10:10:00,AUR,google,paid_social,(not set),Lead,
L-76668,2026-06-24 17:43:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-78882,2026-07-20 11:20:00,PKF,google,cpc,pkf|nonbrand|search|may26,SQL,
L-80948,2026-07-29 09:51:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-81169,2026-07-23 16:10:00,NMB,,,,Lead,
L-74484,2026-05-05 10:40:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-74461,2026-07-31 09:28:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-71907,2026-07-13 19:25:00,AUR,,,,Lead,
L-78287,2026-07-06 17:20:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-78389,2026-07-12 16:15:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-80395,2026-05-11 20:24:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-73044,2026-05-30 13:52:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-78557,2026-07-28 15:26:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-81823,2026-06-24 12:18:00,NMB,google,paid_social,(not set),Lead,
L-74244,2026-06-26 10:24:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-78779,2026-06-16 11:36:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-70955,2026-07-30 13:12:00,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-73304,2026-06-17 08:12:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Lead,
L-77611,2026-05-16 10:29:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-72472,2026-07-13 09:34:00,AUR,,,,Lead,
L-70901,2026-07-27 17:56:00,AUR,fb,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-81895,2026-06-30 16:09:00,PKF,google,paid_social,(not set),MQL,
L-70480,2026-06-21 10:29:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-70826,2026-07-22 11:15:00,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-70903,2026-07-27 13:35:00,AUR,,,,Lead,
L-74972,2026-06-19 08:26:00,NMB,,,,Lead,
L-74612,2026-05-17 20:16:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77297,2026-07-03 22:12:00,AUR,,,,MQL,
L-80602,2026-06-15 21:11:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-70090,2026-05-12 20:59:00,AUR,,,,MQL,
L-79258,2026-06-10 13:33:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Closed Won,3600
L-74295,2026-07-04 22:50:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-80020,2026-05-22 16:56:00,AUR,,,,Lead,
L-77463,2026-05-01 09:37:00,PKF,,,,MQL,
L-76765,2026-07-05 12:14:00,AUR,,,,MQL,
L-72418,2026-06-30 09:33:00,AUR,,,,Lead,
L-71957,2026-07-17 17:32:00,AUR,,,,MQL,
L-70715,2026-07-11 19:33:00,AUR,,,,Lead,
L-75805,2026-06-10 17:07:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-78677,2026-05-22 14:23:00,PKF,google,cpc,pkf|nonbrand|search|may26,Lead,
L-72848,2026-05-20 21:52:00,PKF,,,,Lead,
L-75693,2026-05-27 08:15:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-79496,2026-07-10 09:03:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Closed Won,5200
L-81123,2026-07-02 16:29:00,NMB,,,,Lead,
L-79676,2026-05-06 12:34:00,NMB,google,cpc,NMB_US_PMax_2026Q2,SQL,
L-81893,2026-06-30 22:43:00,PKF,google,paid_social,(not set),Closed Won,5200
L-81750,2026-06-18 10:28:00,AUR,google,paid_social,(not set),MQL,
L-81809,2026-06-23 10:50:00,NMB,,,,MQL,
L-79029,2026-05-12 21:43:00,NMB,,,,SQL,
L-79791,2026-06-28 16:14:00,NMB,google,cpc,NMB_US_PMax_2026Q2,MQL,
L-80816,2026-07-13 14:00:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-73519,2026-07-02 11:52:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Lead,
L-82166,2026-07-23 15:07:00,AUR,google,paid_social,(not set),MQL,
L-79807,2026-07-11 20:26:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,Lead,
L-70478,2026-06-20 10:42:00,AUR,,,,Lead,
L-79632,2026-07-25 14:53:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-79058,2026-05-16 12:59:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-75581,2026-05-16 11:19:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-76768,2026-07-06 13:31:00,AUR,,,,Lead,
L-72261,2026-05-28 18:00:00,AUR,meta,paid_social,aurelia|prospecting|meta|may26,MQL,
L-81079,2026-06-18 12:31:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-75537,2026-05-13 20:23:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-73922,2026-05-07 21:08:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-79414,2026-06-29 10:40:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-74167,2026-06-16 11:59:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-74232,2026-06-26 22:01:00,PKF,,,,Lead,
L-79343,2026-06-21 22:06:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-72269,2026-05-30 14:27:00,AUR,,,,Lead,
L-78131,2026-06-26 19:21:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-74734,2026-05-29 18:52:00,NMB,,,,Lead,
L-74156,2026-06-13 12:33:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-78480,2026-07-20 13:19:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Closed Won,1900
L-71462,2026-06-11 22:45:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-75616,2026-05-20 11:10:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-71122,2026-05-13 11:56:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81072,2026-06-14 10:49:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Closed Won,5200
L-75113,2026-07-05 08:17:00,NMB,,,,Lead,
L-71520,2026-06-17 09:26:00,AUR,,,,SQL,
L-77986,2026-06-16 11:01:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-75884,2026-06-18 22:13:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-77307,2026-07-04 15:27:00,AUR,adwords,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-79553,2026-07-17 21:23:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-72483,2026-07-16 09:44:00,AUR,,,,Lead,
L-81610,2026-06-06 23:38:00,PKF,google,paid_social,(not set),Lead,
L-81419,2026-05-20 08:39:00,NMB,google,paid_social,(not set),Lead,
L-81978,2026-07-07 08:45:00,NMB,google,paid_social,(not set),Lead,
L-74007,2026-05-18 11:33:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-79591,2026-07-22 10:58:00,NMB,,,,Lead,
L-76645,2026-06-18 11:30:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-79579,2026-07-18 12:56:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-75420,2026-05-02 08:53:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-80398,2026-05-11 11:13:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-73739,2026-07-20 08:04:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Closed Won,2400
L-77824,2026-05-30 18:03:00,PKF,,,,Lead,
L-81591,2026-06-04 12:50:00,NMB,google,paid_social,(not set),Lead,
L-80956,2026-07-30 17:16:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Closed Won,8800
L-81027,2026-05-28 21:15:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,SQL,
L-80381,2026-05-07 09:37:00,PKF,,,,MQL,
L-78178,2026-06-27 21:12:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-71958,2026-07-17 13:26:00,AUR,,,,Lead,
L-77728,2026-05-24 21:47:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-75883,2026-06-20 17:48:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-70880,2026-07-24 18:09:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,SQL,
L-73036,2026-05-30 18:32:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Lead,
L-73324,2026-06-18 20:12:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-80990,2026-05-10 13:16:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-81280,2026-05-08 12:04:00,PKF,google,paid_social,(not set),Lead,
L-72106,2026-07-30 16:46:00,AUR,,,,MQL,
L-77879,2026-06-05 20:55:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-70154,2026-05-17 13:33:00,AUR,,,,Lead,
L-80451,2026-05-19 08:48:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
